image_filename,lighting,pixels_light
cabc30fc-e7726578.jpg,Day,73.0
cabc30fc-eb673c5a.jpg,Day,142.0
cabc30fc-fd79926f.jpg,Day,79.0
cabc9045-1b8282ba.jpg,Night,25.0
cabc9045-581f64de.jpg,Night,23.0
cabc9045-5a50690f.jpg,Night,32.0
cabc9045-b3349548.jpg,Night,29.0
cabc9045-c6dc9529.jpg,Night,52.0
cabc9045-cd422b81.jpg,Night,32.0
cabc9045-d91ecb66.jpg,Night,47.0
cabddb96-ca0ac856.jpg,Day,96.0
cabe1040-5f02711e.jpg,Day,139.0
cabe1040-c59cb390.jpg,Day,156.0
cabea010-6882cf41.jpg,Night,33.0
cabf7be1-36a39a28.jpg,Day,104.0
cabf9f3c-d58a6760.jpg,Day,112.0
cac07407-0396e053.jpg,Day,91.0
cac07407-0eb1c8bf.jpg,Day,81.0
cac07407-15b814db.jpg,Day,107.0
cac07407-196cd6f8.jpg,Day,118.0
cac07407-76e4c968.jpg,Day,118.0
cac07407-951977c8.jpg,Day,79.0
cac07407-ba37148a.jpg,Day,76.0
cac07407-bc0b048a.jpg,Day,111.0
cac07407-e969f06a.jpg,Day,107.0
cac07407-fe32e494.jpg,Day,114.0
cac32276-2ea56b83.jpg,Day,100.0
cac32276-a70feba7.jpg,Day,98.0
cac32276-cf233a28.jpg,Day,89.0
cac47e88-3227e13a.jpg,Day,97.0
cac75967-8a9c164b.jpg,Night,33.0
cace2484-cd478fab.jpg,Day,89.0
cacfaddc-ce8105be.jpg,Day,86.0
cad02f4a-dd2c4b41.jpg,Day,94.0
cad03998-075bb24b.jpg,Day,98.0
cad03998-b2cc3e61.jpg,Day,102.0
cad03998-e6cc2ae6.jpg,Day,102.0
cad17389-cb0208f5.jpg,Night,25.0
cad17389-f72e5365.jpg,Night,35.0
cad180c4-2edc9315.jpg,Day,72.0
cad180c4-553ceeb1.jpg,Night,33.0
cad180c4-d05b49f1.jpg,Night,59.0
cad4a646-68a8d136.jpg,Night,33.0
cad54cf7-6779254f.jpg,Night,14.0
cad7fdff-d9946f73.jpg,Day,90.0
cadb239d-499b1478.jpg,Night,13.0
cadb239d-a768df31.jpg,Night,9.0
cadb5cf7-31d9a0d7.jpg,Night,36.0
