---- start log ----
---- start log ----
frame_33b94b4463f811e564f2084d5fcdab2e_5dd58b0e0c11086e6e9f24733614f441_30000-1280_720	day->Night [45.0]
frame_346b73b4c653e15d54975040768886b0_869312375125cc0a6ce1dacbfaf24cd9_60000-1280_720	day->Twilight [61.0]
frame_7721f25d5c91d69f68d00b7c8b6e633b_af7cf8b49b67987359f0e92e91cdd8a6_0-1280_720	day->Twilight [65.0]
frame_b53ab03e-7a41-40ec-9247-227131190ff3_00004-1280_720	day->Twilight [66.0]
frame_064370f89a060f86d0fe7f104a5acc96_c1ba4782fbe5c7514df5689b08ef9167_90000-1280_720	day->Twilight [65.0]
frame_7d97987e0e95a412484f8e81adbe71b8_0f92eb4cedfedfd51b6f534bff5b4f06_60000-1280_720	day->Twilight [66.0]
frame_6d85eb44c6e966f4332ee1cd3f326915_1694e93b24c0e18102f6f94e542f2cf6_0-1280_720	day->Twilight [64.0]
frame_fe9524b9cfd2baa06d0f5ffbf9500a31_7f8e9cf30495051bea61bc66e4d39e57_90000-1280_720	day->Twilight [65.0]
frame_8806bdb391f2b989e9a62685243b81f9_686098ff046c8bb200dd07103f799b0e_60000-1280_720	day->Twilight [66.0]
frame_392d909c5e339b3ef1c4eedd4a4c4e21_fe643faba4e13f518fb35826f0fa6dd3_0-1280_720	day->Night [40.0]
frame_8b8ad73fc30e41a50c283046ac1ba384_a1a34eec2673af3f6a58f5ee8f1dcec3_30000-1280_720	day->Twilight [67.0]
frame_df76cd448a187cbc72449986787709dc_32dcc70b888a88f62734c4612c4590b2_30000-1280_720	day->Twilight [67.0]
frame_99f0563ec01bafe276a9d40844a59309_5fa31f4b2d1a24e4dc53d2e3ab250fce_30000-1280_720	day->Twilight [64.0]
frame_6cfa43ec14f431becf52d4ad73d4ba37_606c1740910e41f8d349941095c698fc_30000-1280_720	day->Night [47.0]
frame_77468fb3-1183-4d96-a61b-729e9515a80a_00005-1280_720	day->Twilight [66.0]
frame_e3d9086e45c827db48d3014683d442f2_1bebc4a28ed24b0167722637b078c0b1_30000-1280_720	day->Twilight [61.0]
frame_3e6b9d1160857297fce0a90e71e31d28_24a4e1533e15e1354acd6b602dee6b92_90000-1280_720	day->Twilight [68.0]
frame_4448775f-0529-4a98-9353-4dd84edc1a36_00000-1280_720	day->Twilight [65.0]
frame_110402ee5fd35e36b843df5a6f38ee24_d0ecc5c9982b032021fa72988442e8fc_0-1280_720	day->Night [58.0]
frame_7721f25d5c91d69f68d00b7c8b6e633b_7e66f3b626be55f9a71ab31c489f94aa_0-1280_720	day->Twilight [64.0]
bd3ad724-7a93-4fdf-84f5-cf292705a646.mov-0001	day->Night [50.0]
frame_a978199ccf9aef465bf858a97156c546_e2355064d7591e70dd9c4b54fac5bf01_30000-1280_720	day->Twilight [64.0]
frame_4b79b5d78f3ab76441da48b87d947916_2a74f940b16f6bb84df922ddd3456259_0-1280_720	day->Twilight [62.0]
frame_149d399cdeab2d82e29a53e3225e75f3_621c40498025a837f590f724337fa8ac_0-1280_720	day->Night [59.0]
frame_f89cfedc67810656e0dad27f11d04546_88abe8c784258f07f2093261171662c5_60000-1280_720	day->Twilight [64.0]
frame_360d1c78d5de9a2df778f70904117f17_28cd9d1c1a0f2432e28c17697e6fea2b_30000-1280_720	day->Twilight [65.0]
frame_70bc4b40bb074a0af817e91222b07e5a_310e8782275dab5200ed2042ff710bb4_90000-1280_720	day->Night [54.0]
frame_ec18c2651e57a0c729cc15e706561f23_d5972a753f5de561e3c89328875a5432_30000-1280_720	day->Twilight [66.0]
frame_02bc9f30f33cbeb420368165ecb1e188_ef5200640694e34444ac517f436306ba_90000-1280_720	day->Twilight [62.0]
